,Airline,Departure_time,Departure_airport,Arrival_time,Arrival_airport,Duration,Flight_numbers,Alibaba_price,MrBilit_price
92,Turkish Airlines,05:30,IKA,22:10,OSL,16 ساعت و 40 دقیقه,"7689, 3419, 897",,478910000.0
95,Lufthansa,02:30,IKA,16:35,OSL,14 ساعت و 5 دقیقه,"601, 802, 491",,552549000.0
96,Lufthansa,02:30,IKA,16:35,OSL,14 ساعت و 5 دقیقه,"601, 6226, 491",,552549000.0
97,Lufthansa,02:30,IKA,16:45,OSL,14 ساعت و 15 دقیقه,"601, 6070, 1460",,554419000.0
98,Lufthansa,02:30,IKA,13:40,OSL,11 ساعت و 10 دقیقه,"601, 6070, 1456",,554419000.0
100,Austrian Airline,03:45,IKA,20:50,OSL,17 ساعت و 5 دقیقه,"872, 371, 828",,753281000.0
102,Austrian Airline,03:45,IKA,14:50,OSL,11 ساعت و 5 دقیقه,"872, 121, 862",,756177000.0
104,Austrian Airline,03:45,IKA,14:50,OSL,11 ساعت و 5 دقیقه,"872, 7259, 862",,756177000.0
105,Austrian Airline,03:45,IKA,14:50,OSL,11 ساعت و 5 دقیقه,"872, 129, 862",,756177000.0
107,Austrian Airline,03:45,IKA,14:50,OSL,11 ساعت و 5 دقیقه,"872, 1233, 862",,758244000.0
108,Lufthansa,02:30,IKA,12:30,OSL,10 ساعت,"601, 5200, 822",,760964000.0
109,Austrian Airline,03:45,IKA,14:50,OSL,11 ساعت و 5 دقیقه,"872, 6347, 862",,762956000.0
110,Austrian Airline,03:45,IKA,14:50,OSL,11 ساعت و 5 دقیقه,"872, 6331, 862",,762956000.0
111,Lufthansa,02:30,IKA,13:00,OSL,10 ساعت و 30 دقیقه,"601, 640, 1458",,765997000.0
112,Lufthansa,02:30,IKA,13:40,OSL,11 ساعت و 10 دقیقه,"601, 640, 1456",,765997000.0
114,Lufthansa,02:30,IKA,13:30,OSL,11 ساعت,"601, 900, 804",,769147000.0
116,Austrian Airline,03:45,IKA,11:55,OSL,8 ساعت و 10 دقیقه,"872, 371, 1143",,864480000.0
117,Austrian Airline,03:45,IKA,16:15,OSL,12 ساعت و 30 دقیقه,"872, 371, 1147",,864480000.0
118,Austrian Airline,03:45,IKA,13:45,TRF,10 ساعت,"872, 1838, 1217",,871563000.0
119,Austrian Airline,03:45,IKA,11:55,OSL,8 ساعت و 10 دقیقه,"872, 1838, 1143",,871563000.0
120,Austrian Airline,03:45,IKA,14:50,OSL,11 ساعت و 5 دقیقه,"872, 129, 3646",,1090729000.0
121,Austrian Airline,03:45,IKA,14:50,OSL,11 ساعت و 5 دقیقه,"872, 121, 3646",,1090729000.0
126,Lufthansa,02:30,IKA,14:50,OSL,12 ساعت و 20 دقیقه,"601, 3646, 0",,1140659000.0
